Financial Year,Financial Quarter,Police Force,CSP Name merged,Offence Description,Offence Group,Offence Subgroup,Offence Code,Offence Count,CSP Name
2015/16,1,Avon and Somerset,Bath and North East Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A,11,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Dangerous driving,Miscellaneous crimes against society,Miscellaneous crimes against society,802,5,
2015/16,1,Avon and Somerset,Bath and North East Somerset,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes against society,Miscellaneous crimes against society,95,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Dishonest use of electricity,Theft offences,Other theft offences,43,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,1,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Endangering life,Violence against the person,Violence with injury,5E,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Exploitation of prostitution,Miscellaneous crimes against society,Miscellaneous crimes against society,24,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Exposure and voyeurism,Sexual offences,Other sexual offences,88E,5,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Forgery or use of false drug prescription,Miscellaneous crimes against society,Miscellaneous crimes against society,60,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes against society,Miscellaneous crimes against society,814,1,
2015/16,1,Avon and Somerset,Bath and North East Somerset,"Going equipped for stealing, etc",Miscellaneous crimes against society,Miscellaneous crimes against society,33,1,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Handling stolen goods,Miscellaneous crimes against society,Miscellaneous crimes against society,54,2,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Harassment,Violence against the person,Stalking and harassment,8L,103,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Infanticide,Violence against the person,Homicide,4.2,0,
2015/16,1,Avon and Somerset,Bath and North East Somerset,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,0,
